formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,latitude,longitude,displayName,editorialSummary
"170 Lakeside Dr, Ellenwood, GA 30294, USA",https://maps.google.com/?cid=16994655605690150279,ATL,0.15892135419939213,1820.2307692307693,10.062608787474232,33.6346266,-84.2531963,"Bird Feeders, Baths, and Houses",
"Ellenwood, GA 30294, USA",https://maps.google.com/?cid=15950335271264223048,ATL,0.2728687492297519,1684.8285714285714,6.99645060526165,33.6271266,-84.30702889999999,Pine Circle Park,
"Atlanta, GA 30354, USA",https://maps.google.com/?cid=17122624556488346571,ATL,0.26190755366175617,352.05,2.8705847477382167,33.654109999999996,-84.3827881,Harper Park,
"4375 Old Jonesboro Rd, Forest Park, GA 30297, USA",https://maps.google.com/?cid=8245384513726833555,ATL,0.18465485816955204,871.4285714285714,4.101465073681733,33.635069099999996,-84.3568303,Theater Drive Park,
"170 Lakeside Dr, Ellenwood, GA 30294, USA",https://maps.google.com/?cid=16796632494796631193,ATL,0.15892135419939213,1820.2307692307693,10.062608787474232,33.6346266,-84.2531963,Windchimes for U,
"Fairview Rd, Ellenwood, GA 30294, USA",https://maps.google.com/?cid=2667036143791893812,ATL,0.2875313233397417,1826.5862068965516,9.975597983718933,33.6268725,-84.25510109999999,Fairview Community Park,"A 34-acre park with 3 large pavilions, sports fields, playground, lawns, exercise track & fountain."
"500 Clark Dr, Ellenwood, GA 30294, USA",https://maps.google.com/?cid=15972710499520162989,ATL,0.10522252250040752,1821.4137931034484,10.202542510593778,33.633684599999995,-84.250784,Ellenwood Equestrian Center,
"4421 College St, Forest Park, GA 30297, USA",https://maps.google.com/?cid=10849007796636618378,ATL,0.09815372282672104,855.8421052631579,3.9955559170249573,33.633565,-84.3587472,Richard Cash Memorial Marker,
"170 Lakeside Dr, Ellenwood, GA 30294, USA",https://maps.google.com/?cid=2482214300568391975,ATL,0.15892135419939213,1820.2307692307693,10.062608787474232,33.6346266,-84.2531963,"Planters,Urns and More",
"4431 Lyons Rd, Stonecrest, GA 30038, USA",https://maps.google.com/?cid=11314223118844032122,ATL,0.16433738586467106,3578.7083333333335,15.087034601264984,33.6464675,-84.1660814,Trailhead,
"College Park, GA 30337, USA",https://maps.google.com/?cid=3359457780321874653,ATL,0.22140881449525998,1880.888888888889,2.9106358599146995,33.6465131,-84.4773092,Brannon Memorial Park,
"170 Lakeside Dr, Ellenwood, GA 30294, USA",https://maps.google.com/?cid=10372174546710723981,ATL,0.15892135419939213,1820.2307692307693,10.062608787474232,33.6346266,-84.2531963,Statues and Garden Stakes,
"Forest Park, GA 30297, USA",https://maps.google.com/?cid=17085956335803219534,ATL,0.03401554469721845,630.0689655172414,3.2282565960937264,33.632446,-84.3722167,Scott Boulevard Park,
"4375 Old Jonesboro Rd, Forest Park, GA 30297, USA",https://maps.google.com/?cid=1898443115740521044,ATL,0.17924490976044977,880.1739130434783,4.110897176086366,33.6349751,-84.3566695,4375 Old Jonesboro Rd,
"170 Lakeside Dr, Ellenwood, GA 30294, USA",https://maps.google.com/?cid=13512880631748016606,ATL,0.15892135419939213,1820.2307692307693,10.062608787474232,33.6346266,-84.2531963,Outdoor Garden Pro,
