formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,path_id,latitude,longitude,displayName,editorialSummary
"Carrera 100a #9, Bogotá, Colombia",https://maps.google.com/?cid=4404002347248041510,BOG,0.09946350133280069,3159.125,6.899337807225769,BOG0,4.6182210999999995,-74.20204129999999,San José de Maryland Park,
"Bosa, Bogotá, Bogota, Colombia",https://maps.google.com/?cid=16484453956251409751,BOG,0.2845234521336145,3676.0,7.110263576469664,BOG0,4.6156595,-74.2037074,BOSQUE URBANO BOSA,
"Bosa, Bogotá, Bogota, Colombia",https://maps.google.com/?cid=5025356409122962506,BOG,0.19108117353700724,3382.0,7.007714380382377,BOG0,4.6167856,-74.2027153,BOSQUE PLANTADO DE BOSA TIERRA VIVA,
"Cl. 70a Sur, Bogotá, Colombia",https://maps.google.com/?cid=7563838746879291819,BOG,0.12874875362890476,3000.9375,6.593550041647414,BOG0,4.6196268,-74.1959359,HUERTA LA MECHITA,
"Cra. 87k #69a Sur-1 a, C. 69a Sur #19, Bogotá, Colombia",https://maps.google.com/?cid=10472386499593160010,BOG,0.11781207644124081,3048.6923076923076,6.389059137672159,BOG0,4.6227947,-74.19545289999999,la concepcion Park,
"Bosa, Bogotá, Bogota, Colombia",https://maps.google.com/?cid=17333068855914641710,BOG,0.07597810765094659,3159.125,6.892956681280018,BOG0,4.6181624999999995,-74.2017832,Huerta comunitaria el roble,
"Cl. 73d Sur #86d-2 a 86d-42, Bogotá, Colombia",https://maps.google.com/?cid=3556218449424608561,BOG,0.1676543842566813,3117.7619047619046,6.753559772188049,BOG0,4.6179245,-74.1976052,Bosa Islandia II sector Park,
"Carrera 100a #9, Bogotá, Colombia",https://maps.google.com/?cid=17236297542350144370,BOG,0.10219687400667844,3159.125,6.907176037619348,BOG0,4.6181616,-74.2021575,Carrera 100a #9,
"Cl. 74 Sur #83-4, Bogotá, Colombia",https://maps.google.com/?cid=18191334571133876097,BOG,0.26923148395658786,3382.0,7.0101514683078285,BOG0,4.6149398999999995,-74.1998527,Gue chigua Neuta,
"70, Cra. 88c #11, Bosa, Bogotá, Colombia",https://maps.google.com/?cid=15081403095595748549,BOG,0.16050418930910312,3000.9375,6.4354638783746,BOG0,4.6234302,-74.197726,publico Park,
