formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,path_id,latitude,longitude,displayName,editorialSummary
"Boston, MA 02128, USA",https://maps.google.com/?cid=7719226291673684217,BOS,0.14005562918746983,172.23809523809524,1.2752393564008042,BOS2,42.382306899999996,-70.9997236,Bayswater Street Park,
"158 Garfield Ave, Revere, MA 02151, USA",https://maps.google.com/?cid=4563075599337471384,BOS,0.28097478086772115,615.0,2.7178425394149484,BOS2,42.40257870000001,-70.9929442,Curtis Park Street,
"775 Gallivan Blvd, Dorchester, MA 02122, USA",https://maps.google.com/?cid=2599149930881398942,BOS,0.10362414727926533,1402.4590163934427,5.916881643865626,BOS0,42.2842479,-71.04634100000001,Gallivan/Hallet Circle,
"AMC Ponkapoag Family Camp, Randolph St, Randolph, MA 02368, USA",https://maps.google.com/?cid=10809077768670392239,BOS,0.03074479098261722,3080.264705882353,12.454340748464517,BOS0,42.1947476,-71.0878913,Blue hills fishing shack,
"Hallet St, Boston, MA 02124, USA",https://maps.google.com/?cid=17776327140633835817,BOS,0.07861481486440043,1415.5714285714287,5.95455458090813,BOS0,42.282796999999995,-71.0430827,"Pope John Paul II Park, Boston","Public park offering walking paths, picnic areas, playgrounds, soccer fields & restored salt marsh."
"872 Lynnway, Lynn, MA 01905, USA",https://maps.google.com/?cid=542239685681981988,BOS,0.13500994131815688,1430.3636363636363,5.97940308692811,BOS2,42.445586,-70.9649894,Willis Fishing Pier,
"20 Water St, Dorchester, MA 02122, USA",https://maps.google.com/?cid=14027907028385043336,BOS,0.0722279136655286,1310.150684931507,5.534526290693259,BOS0,42.2885543,-71.04044449999999,Doucette Square,
"2 Granite Ave, Milton, MA 02186, USA",https://maps.google.com/?cid=15677505749846994485,BOS,0.18510152706092078,1307.050847457627,5.536050295626071,BOS0,42.2879953,-71.0382623,2 Granite Ave,
"Winthrop, MA 02152, USA",https://maps.google.com/?cid=17979734294992560866,BOS,0.22939551207770892,868.2,1.7289073086525837,BOS1,42.3673147,-70.9715835,Winthrop Boat Launch,
"Randolph St, Randolph, MA 02368, USA",https://maps.google.com/?cid=4885822855115259977,BOS,0.03340736437149542,3327.027027027027,13.072589987951172,BOS0,42.186335899999996,-71.0920093,AMC Ponkapoag Family Camp,
"Dorchester, Boston, MA 02125, USA",https://maps.google.com/?cid=11641833775425550105,BOS,0.21963728998604903,858.047619047619,3.9187660943800826,BOS0,42.3121578,-71.0353921,UMass Boston Campus Center Lawn,
"Revere, MA 02151, USA",https://maps.google.com/?cid=15581047576180638640,BOS,0.07353204931800293,1376.6315789473683,5.579201673601813,BOS2,42.4407268,-70.96991179999999,Gibson Park,
"Miwra Haul Rd, Quincy, MA 02171, USA",https://maps.google.com/?cid=15948520942442237819,BOS,0.17249311159872618,1054.148148148148,4.68491420714716,BOS0,42.2996615,-71.0329055,Squantum Point Park,"This parkland offers a fishing pier, bird watching, trails, picnic areas & harbor & city views."
"Boston, MA 02122, USA",https://maps.google.com/?cid=15689448013608751792,BOS,0.2692687722423549,1409.96,5.988281111160663,BOS0,42.284197899999995,-71.0499625,Toohing Playground,
"Canton, MA 02021, USA",https://maps.google.com/?cid=10545853373153415589,BOS,0.02967354684894295,3960.5882352941176,16.130439123463688,BOS3,42.144627199999995,-71.1119767,Canton Conservation,
"Revere, MA 02151, USA",https://maps.google.com/?cid=15637345651874056085,BOS,0.1582166640602187,542.6315789473684,2.533118571787627,BOS2,42.3979831,-70.98560739999999,Leverett Avenue Property,
"Stoughton, MA 02072, USA",https://maps.google.com/?cid=1957584005927541257,BOS,0.04385734274408766,4331.4,17.82374262631677,BOS3,42.121609,-71.12332169999999,VFW fields,
"Revere, MA 02151, USA",https://maps.google.com/?cid=5812858581694527404,BOS,0.09381319250978495,393.90909090909093,2.2408049589987526,BOS2,42.394371899999996,-70.988765,Cresent Ave Mini Park,
"Stoughton, MA 02072, USA",https://maps.google.com/?cid=4993111666273293437,BOS,0.22940331653879212,4186.777777777777,17.149508759524632,BOS3,42.1317677,-71.1224656,P.C. Federick J. Conley Memorial Field,
"Canton, MA 02021, USA",https://maps.google.com/?cid=8083221692416660001,BOS,0.12122316704675058,3925.470588235294,16.005406705252437,BOS3,42.1468041,-71.11291489999999,Along Red Wing Brook,
"15 Everard St, Revere, MA 02151, USA",https://maps.google.com/?cid=17530206881666990279,BOS,0.0219055175941674,518.2608695652174,2.1698980377419943,BOS2,42.3940181,-70.9914582,Fredericks Park,
"141-147 Walnut St, Dorchester, MA 02122, USA",https://maps.google.com/?cid=17504584198656256802,BOS,0.14548463246283955,1268.1791044776119,5.418804196744287,BOS0,42.289778999999996,-71.0382623,141-147 Walnut St,
"Boston, MA 02127, USA",https://maps.google.com/?cid=14835408184068323739,BOS,0.24824717039352062,340.20454545454544,2.138855022109241,BOS0,42.336690999999995,-71.0241473,South Boston,
"340 Neponset Ave, Boston, MA 02122, USA",https://maps.google.com/?cid=1682715833569353220,BOS,0.11951458402111814,1348.5625,5.670278516858691,BOS0,42.2876961,-71.0450233,Garvey Playground,
"Michael Ln, Stoughton, MA 02072, USA",https://maps.google.com/?cid=14211722233467083906,BOS,0.032240957754139404,3991.095238095238,16.228652449997192,BOS3,42.1429732,-71.11142939999999,Canton Conservation Land,
"2010 William J Day Blvd, Boston, MA 02127, USA",https://maps.google.com/?cid=6269172579819288866,BOS,0.25986490061658846,275.39285714285717,1.8639811220150169,BOS0,42.3378699,-71.0125206,Castle Island,"Site of Fort Independence (open in the summer), with beach, picnic & jogging areas."
"1880 William J Day Blvd, Boston, MA 02127, USA",https://maps.google.com/?cid=15400110779646032702,BOS,0.24858601197001526,321.5,2.1239685471685212,BOS0,42.336897799999996,-71.0240545,Cobbles Community Sportsbox,
"31 Bay View Ave, Winthrop, MA 02152, USA",https://maps.google.com/?cid=7326762088583665350,BOS,0.0014371113353365448,842.2352941176471,1.6091289921937901,BOS1,42.3623786,-70.97379169999999,Coughlin Park,
"Revere, MA 02151, USA",https://maps.google.com/?cid=14717347313802236088,BOS,0.09322458994270987,529.2173913043479,2.536980590000647,BOS2,42.3984127,-70.9868147,Louis Pasteur Park,
"Winthrop, MA 02152, USA",https://maps.google.com/?cid=10405730555464356787,BOS,0.13587814662158113,901.0571428571428,1.7628555073558254,BOS1,42.360139,-70.971136,Cash Murray Memorial,
"Valley Dr, Stoughton, MA 02072, USA",https://maps.google.com/?cid=9352849293492008283,BOS,0.06928130935753714,4048.689655172414,16.426397993333794,BOS3,42.14009,-71.11201,Big Ducks Pond,
"1331 Randolph Ave, Milton, MA 02186, USA",https://maps.google.com/?cid=8103409274663684942,BOS,0.16299676605696617,2564.088888888889,10.274518557383683,BOS0,42.22349,-71.06983,Braintree Pass Path Trailhead,
"1399 Bennington St, Boston, MA 02128, USA",https://maps.google.com/?cid=4937134646098570637,BOS,0.0563881255770678,524.1052631578947,1.9729495397289976,BOS2,42.3914985,-70.99343379999999,Belle Isle Marsh Reservation,"Salt marsh preserve featuring a 28-acre park offering benches, paths & an observation tower."
"8 Holbrook Ave, Boston, MA 02122, USA",https://maps.google.com/?cid=727981473232842443,BOS,0.07847597778424686,1349.7692307692307,5.666404319544012,BOS0,42.2875284,-71.0442128,Gerald “Jerry” Cunningham Memorial Dog Park,
"Hallet St, Boston, MA 02124, USA",https://maps.google.com/?cid=8529019303226168395,BOS,0.10205614076488669,1486.7166666666667,6.182533523341005,BOS0,42.2795744,-71.0441276,Neponset River Estuary Area of Critical Environmental Concern,
"Pine Ave, Milton, MA 02186, USA",https://maps.google.com/?cid=8629608674986693709,BOS,0.04982686658090188,2083.4716981132074,8.434270260023782,BOS0,42.24964370000001,-71.06184809999999,Dean Road Quarry Lindsey Land,
"Drake Ave, Stoughton, MA 02072, USA",https://maps.google.com/?cid=1576355280899402515,BOS,0.256995301960271,4244.272727272727,17.487066207034168,BOS3,42.124698599999995,-71.1153288,Babe Ruth Field,
"158 Garfield Ave, Revere, MA 02151, USA",https://maps.google.com/?cid=14244263340754001779,BOS,0.28097478086772115,615.0,2.7178425394149484,BOS2,42.40257870000001,-70.9929442,158 Garfield Ave,
"Boston, MA 02124, USA",https://maps.google.com/?cid=17581693868553802216,BOS,0.09789354853196694,1535.108695652174,6.329115931900077,BOS0,42.2785967,-71.0489411,Keystone Shoreline,
"141-147 Walnut St, Dorchester, MA 02122, USA",https://maps.google.com/?cid=15040262344441282873,BOS,0.1345280135102698,1271.6764705882354,5.440464375171745,BOS0,42.2895355,-71.0386178,Joseph Finnegan Park,
"Stoughton, MA 02072, USA",https://maps.google.com/?cid=16908546750213095808,BOS,0.20711291664280257,3995.1052631578946,16.289426616649422,BOS3,42.141274599999996,-71.1084584,North Stoughton Area,
"Revere, MA 02151, USA",https://maps.google.com/?cid=14305408056718486350,BOS,0.08852553128391674,520.0454545454545,2.520381575619326,BOS2,42.399108299999995,-70.9904367,George Avenue Property,
