formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,latitude,longitude,displayName,editorialSummary
"13406 Warburton Dr, Fort Washington, MD 20744, USA",https://maps.google.com/?cid=4653284989902244611,DCA,0.18129638816470714,2408.255319148936,10.148372988025402,38.70589,-77.01975399999999,Piscataway park,
"Washington, DC 20016, USA",https://maps.google.com/?cid=8753692210708341359,DCA,0.14973233400755892,3644.8703703703704,5.7111830449123,38.9178847,-77.1019914,Fletcher's Cove,
"QX8C+R3, 8915 Fort Foote Rd, Fort Washington, MD 20744, USA",https://maps.google.com/?cid=17862047517515563222,DCA,0.02664248530916458,1385.4512195121952,5.890158995714039,38.767075999999996,-77.0297649,Potomac park,
"WW64+79, Washington, DC 20007, USA",https://maps.google.com/?cid=5574433986400901284,DCA,0.019823630574449507,3175.314814814815,5.060469049083379,38.910708,-77.094121,Palisades Trolley Trail,
"12 Mt Vernon Trail, Arlington, VA 22202, USA",https://maps.google.com/?cid=3598002145681617065,DCA,0.09879355624097846,523.3116883116883,0.9183186997237548,38.8653798,-77.0383926,"Gravelly Point Park, Mount Vernon Trail",
"2220 N Scott St, Arlington, VA 22209, USA",https://maps.google.com/?cid=12749718520139826319,DCA,0.009636839456396575,2615.7894736842104,4.080395659693896,38.9020969,-77.0780705,Georgetown Overlook,
"13306 Warburton Dr, Fort Washington, MD 20744, USA",https://maps.google.com/?cid=14074063962029657237,DCA,0.054097968866687,2338.6451612903224,9.981607336331317,38.708132299999995,-77.0223496,Captain's Cove Neighborhood Park,
"Gravelly Point Park, 12 Mt Vernon Trail, Mt Vernon Trail, Arlington, VA 22202, USA",https://maps.google.com/?cid=10032438542506674150,DCA,0.05072356563772053,582.7088607594936,0.978663150293445,38.8662327,-77.0389096,Vance Field,
"George Washington Mem Pkwy, Arlington, VA 22207, USA",https://maps.google.com/?cid=2397970405138687360,DCA,0.05873099117004493,3746.8225806451615,6.126458981895555,38.9210869,-77.1092595,George Washington Memorial Parkway Second Overlook,
"Alexandria, VA 22314, USA",https://maps.google.com/?cid=13465793765463715936,DCA,0.20710178286528386,456.2413793103448,2.6257055928426234,38.8140983,-77.0378478,Alexandria's Washington Monument,
"Arlington, VA 22209, USA",https://maps.google.com/?cid=8919717809352665807,DCA,0.05742818527377713,2287.208955223881,3.784997917940785,38.8999654,-77.0719188,George Washington Memorial Parkway,
"1655 Fort Myer Dr, Arlington, VA 22209, USA",https://maps.google.com/?cid=13476678087215325996,DCA,0.22918645468004806,2190.285714285714,3.3782590563068355,38.8933234,-77.0714665,1655 Fort Myer Dr,
"QX8C+R3, 8915 Fort Foote Rd, Fort Washington, MD 20744, USA",https://maps.google.com/?cid=16609747824380899657,DCA,0.21727760791188813,1386.4772727272727,5.92475430474263,38.7669059,-77.0251975,Fort Foote Park,"Run by the National Park Service, this Civil War-era fort has sweeping views & original artillery."
"Washington, DC, USA",https://maps.google.com/?cid=6334648952069274960,DCA,0.15169203233496623,1672.4634146341464,2.2925032812855424,38.8821634,-77.0557268,Washington,
"2845 Marcey Rd, Arlington, VA 22207, USA",https://maps.google.com/?cid=10761394056265653057,DCA,0.21790954018127376,3546.9189189189187,5.66007481322309,38.9133669,-77.107553,Solar PV Stage,
"Canal Rd NW, Washington, DC 20007, USA",https://maps.google.com/?cid=16610147651583775310,DCA,0.1527482341637757,2645.490909090909,4.307242990458579,38.9057452,-77.07848709999999,"Foundry Branch Tunnel Washington, D.C.",
"900 Ohio Dr SW, Washington, DC 20024, USA",https://maps.google.com/?cid=777353001873100803,DCA,0.2307082711028584,1705.3333333333333,2.4817332039270315,38.8866776,-77.05018299999999,John Ericsson Memorial,
"1655 Fort Myer Dr, Arlington, VA 22209, USA",https://maps.google.com/?cid=15444577078546755352,DCA,0.23633663748107178,2173.4444444444443,3.368918423729477,38.8931629,-77.0714666,Dark Star Park,"This tiny, grassy area showcases a public art piece with large spheres that represent fallen stars."
"333 Long Bridge Drive, Arlington, VA 22202, USA",https://maps.google.com/?cid=12983269461042359150,DCA,0.0776342705363726,890.6404494382023,1.267333054747853,38.8699815,-77.0429429,Bicycle Air/Repair & Water Bottle Fill Station,
"George Washington Mem Pkwy, Arlington, VA 22202, USA",https://maps.google.com/?cid=3362775469970294529,DCA,0.10749920536326268,589.719512195122,0.9527298799916185,38.8657447,-77.040251,Gravelly Point,Waterfront park known for its up-close views of planes taking off & landing at Reagan Airport.
"1300 Langston Blvd., Arlington, VA 22209, USA",https://maps.google.com/?cid=6503881160481178632,DCA,0.028219843550358358,2291.176470588235,3.735878043558952,38.8987051,-77.0729089,Gateway Park Interim Dog Park,
"44 Canal Center Plaza, Alexandria, VA 22314, USA",https://maps.google.com/?cid=16047927234494849728,DCA,0.2521332553090878,451.74626865671644,2.617103713997126,38.814230699999996,-77.03870169999999,Promenade Classique Sculpture Garden,
"Bethesda, MD 20816, USA",https://maps.google.com/?cid=16472060518033018876,DCA,0.20394235628787746,4427.0,8.30643239883295,38.9498305,-77.1276572,Little Falls Overlook,
"4020 30th St N, Arlington, VA 22207, USA",https://maps.google.com/?cid=2731762922516503398,DCA,0.1896950565824705,3684.0,5.885591681362042,38.9159157,-77.1101814,Donaldson Run Park,"Secluded 4-acre park featuring a pond & stream, a nature trail & paved paths in a wooded setting."
"Q N St NW, Washington, DC 20007, USA",https://maps.google.com/?cid=6502716011378692374,DCA,0.16655672559683216,3090.4745762711864,4.706669683781996,38.909354799999996,-77.0851086,Hardy Dog Park,
"2845 Marcey Rd, Arlington, VA 22207, USA",https://maps.google.com/?cid=8416017748108927136,DCA,0.2351080134433856,3541.866666666667,5.643619116409386,38.9130135,-77.10760259999999,Potomac Overlook Regional Park,"Large park boasts a nature center with live animals & exhibits, summer concerts & an organic garden."
"1101 Wilson Blvd, Arlington, VA 22209, USA",https://maps.google.com/?cid=16969333654684581012,DCA,0.087065476911597,2199.394366197183,3.462881732955887,38.89548,-77.0699376,Freedom Park,"This smaller public space features a paved walkway, benches & inventive landscape architecture."
"Mt Vernon Trail, Alexandria, VA 22314, USA",https://maps.google.com/?cid=7471310750255552313,DCA,0.2383339588643403,424.9625,2.4850887827283987,38.8161407,-77.03863559999999,Mount Vernon Trail,
"119 Montgomery St, Alexandria, VA 22314, USA",https://maps.google.com/?cid=14995621538883424106,DCA,0.23100973389034024,461.9125,2.6474393768412243,38.8137861,-77.0382628,Canal Center,
"McLean, VA 22101, USA",https://maps.google.com/?cid=8295826378892195082,DCA,0.13255771901185356,4455.028571428571,7.394036643775326,38.9343663,-77.1256324,Fort Marcy,Home to some of the Civil War's best-preserved military defenses on grounds filled with wildlife.
"Washington, DC 20016, USA",https://maps.google.com/?cid=5947224241889481026,DCA,0.1888714659839137,3701.2051282051284,5.762466412837368,38.918785,-77.102043,C&O National Historical Park,
"Memorial Ave, Washington, DC 20566, USA",https://maps.google.com/?cid=6506694174619068098,DCA,0.16970388965791353,1749.7936507936508,2.6142108986000197,38.8857211,-77.0599857,Potomac Park,"Green area along the Potomac River, known for views of famous landmarks like the Lincoln Memorial."
"Warburton Dr, Fort Washington, MD 20744, USA",https://maps.google.com/?cid=11190137212109286482,DCA,0.09782971713440781,2343.8333333333335,9.980044744202134,38.7082087,-77.02154209999999,Queens Park,
"George Washington Mem Pkwy, Washington, DC 20037, USA",https://maps.google.com/?cid=14045211815918286857,DCA,0.12115468328535654,1513.576923076923,1.973737725307356,38.878580299999996,-77.0514582,Lyndon Baines Johnson Memorial Grove On The Potomac,Memorial for President Lyndon B. Johnson set in a riverside grove with a view of the National Mall.
"3611 Canal Rd NW, Washington, DC 20007, USA",https://maps.google.com/?cid=11419898992069768491,DCA,0.18600102840697405,2679.122448979592,4.364285485997668,38.9065825,-77.078751,Foundry Branch Valley Park,
"3632 36th Rd N, Arlington, VA 22207, USA",https://maps.google.com/?cid=14272631619685520214,DCA,0.21385576508421017,3890.5714285714284,6.4293983752221875,38.9215467,-77.11726569999999,Gulf Branch Trail,
"1 Canal Center Plaza, Alexandria, VA 22314, USA",https://maps.google.com/?cid=9225809229133898227,DCA,0.24006057921759286,428.37974683544303,2.507297986850195,38.8158192,-77.03863559999999,Tide Lock Park,
"4500 Q St NW, Washington, DC 20007, USA",https://maps.google.com/?cid=5790322140047626491,DCA,0.18200137665268673,3113.296296296296,4.680490559546942,38.9092944,-77.0843266,Hardy Recreation Center,
