formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,path_id,latitude,longitude,displayName,editorialSummary
78M9+9VW - 21A St - Deira - Dubai - United Arab Emirates,https://maps.google.com/?cid=4931100870130911209,DXB,0.09361649791110303,1702.0,3.5058440466417826,DXB0,25.283481400000003,55.319710099999995,Baraha Walking Trail,
26B St - Mirdif - Dubai - United Arab Emirates,https://maps.google.com/?cid=6579530784912307936,DXB,0.19398210963126203,499.3333333333333,4.079414005590421,DXB2,25.2194559,55.4182643,Mirdif Park 1,
5G79+48P - Dubai - United Arab Emirates,https://maps.google.com/?cid=14157098911101002208,DXB,0.24852557988520432,2351.549019607843,11.455220730816862,DXB1,25.162843700000003,55.5183222,Al Nakheel Park,
37 Abu Baker Al Siddique Rd - Abu Hail - Dubai - United Arab Emirates,https://maps.google.com/?cid=10906773487125138602,DXB,0.24269871932531853,1589.5760869565217,3.2386820533758396,DXB0,25.283267,55.3250087,KBS majlis,
1 27A St - Muteena - Dubai - United Arab Emirates,https://maps.google.com/?cid=5022266985224802270,DXB,0.13178352141317284,1557.8920863309352,3.0115995662883277,DXB0,25.276854699999998,55.3242061,Almuteena Park,
78JC+M6P - Al Baraha - Dubai - United Arab Emirates,https://maps.google.com/?cid=12184270695836419216,DXB,0.03950613357660338,1666.52688172043,3.376856842982074,DXB0,25.2818215,55.320915,ممشى البراحه,
78HJ+H8J - Deira - Dubai - United Arab Emirates,https://maps.google.com/?cid=18136316679987449152,DXB,0.18309633506770373,1286.3208955223881,2.7728277371546253,DXB0,25.2789744,55.330760399999996,Deira,
112 15th St - Mirdif - Dubai - United Arab Emirates,https://maps.google.com/?cid=7330084679488753832,DXB,0.22959144908534607,553.4375,4.43593686031845,DXB2,25.2224018,55.426915099999995,Uptown Mirdif Park,
"101 - Deira, Khalifa Building - هور العنز - دبي - United Arab Emirates",https://maps.google.com/?cid=566169013589462136,DXB,0.010498159152625402,1244.4806629834254,2.5703624579318296,DXB0,25.275315300000003,55.3316532,Abbaad Cleaning Services and Pest Control,
Port Rashid - Dubai - United Arab Emirates,https://maps.google.com/?cid=14014460412466340058,DXB,0.16957188767326795,3064.2894736842104,5.976085689629456,DXB4,25.284755,55.2755223,Afnan Garden & Landscape,
78P9+2V3 - Deira - Dubai - United Arab Emirates,https://maps.google.com/?cid=1506458785034057736,DXB,0.17611174574008762,1722.1048387096773,3.571685507754855,DXB0,25.285005299999998,55.3196855,Rest ppace,
17 24th St - Deira - Dubai - United Arab Emirates,https://maps.google.com/?cid=2871267041199631608,DXB,0.2738990177862849,1186.7826086956522,2.6611558425685446,DXB0,25.272316,55.327683199999996,Muraqqabat park,
6C99+RCP - Mirdif - Dubai - United Arab Emirates,https://maps.google.com/?cid=18028377547581130639,DXB,0.17788922431143306,492.84375,4.090160565658832,DXB2,25.2195821,55.4185674,Mirdif Park,
Deira - Dubai - United Arab Emirates,https://maps.google.com/?cid=2419867465837076233,DXB,0.09498932932370148,1321.121212121212,2.7864684632605417,DXB0,25.2780108,55.32959220000001,JAT TOURISM LLC,
63 15th St - Mirdif - Dubai - United Arab Emirates,https://maps.google.com/?cid=5129519450590602170,DXB,0.17923369071810136,557.9215686274509,4.3767333796370504,DXB2,25.2173925,55.4224651,Plant Trees,
35 4th St - Al Baraha - Dubai - United Arab Emirates,https://maps.google.com/?cid=9438686114735368419,DXB,0.1352034292413303,1796.613924050633,3.6501140393675873,DXB0,25.281649899999998,55.3154621,Dubi hosptail,
72 Alltihad St - Mirdif - Dubai - United Arab Emirates,https://maps.google.com/?cid=10610610577258538046,DXB,0.23510683747399472,492.35897435897436,4.055197867417412,DXB2,25.2191115,55.4175292,Mirdif Park Rear Entrance,
33 42A St - Hor Al Anz - Dubai - United Arab Emirates,https://maps.google.com/?cid=1397627711348899034,DXB,0.05050653463984721,1033.9760765550238,2.3358891952814176,DXB0,25.274019199999998,55.3352966,Hor Al Anz Park,"Enclosed, leafy green space with a basketball court plus a shaded play structure, swings & benches."
near green house market - Deira - city centre - Dubai - United Arab Emirates,https://maps.google.com/?cid=18006244091688260885,DXB,0.18157480362084258,1287.863309352518,2.758595335018504,DXB0,25.2788468,55.3309395,Raja Desert Safari,
68 Algeria St - Mirdif - Dubai - United Arab Emirates,https://maps.google.com/?cid=13413127702039504403,DXB,0.1524852104288779,531.2631578947369,4.202688531144613,DXB2,25.2231153,55.4230917,garden aprtment parking,
6CM3+RV - Dubai - United Arab Emirates,https://maps.google.com/?cid=17841561281760136279,DXB,0.25906802504496923,197.0,2.8148647689038446,DXB2,25.2345589,55.4046727,أهلاً بكم في دبي,
7C 17th St - Al Baraha - Dubai - United Arab Emirates,https://maps.google.com/?cid=8376704251300409239,DXB,0.14079019169730558,1582.0392156862745,3.2446960132047873,DXB0,25.2785054,55.320941299999994,al rasheed rod,
77XV+WP - Dubai Islands - Front - Dubai - United Arab Emirates,https://maps.google.com/?cid=10938070100602387504,DXB,0.25291064582025063,2507.3611111111113,5.492044707197696,DXB0,25.3004386,55.2940328,Dog beach,
