formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,latitude,longitude,displayName,editorialSummary
"Sewaren, NJ 07077, USA",https://maps.google.com/?cid=5037709821638714757,EWR,0.16968357919934107,2579.2758620689656,11.105036669915185,40.5454775,-74.2542435,Kayak Launch Captain Carlsen Park,
"North Arlington, NJ 07031, USA",https://maps.google.com/?cid=2493306602683057142,EWR,0.023759516708402238,1806.2758620689656,7.155501936979935,40.784738999999995,-74.106556,HMDC Nature Center,
"1 DeKorte Park, Lyndhurst, NJ 07071, USA",https://maps.google.com/?cid=2807799056409078370,EWR,0.09418729202288766,1826.1666666666667,7.306560329275955,40.785864499999995,-74.1031625,Richard W. DeKorte Park,Estuary park with walking paths plus an environmental center & observatory access on select days.
"Elizabeth, NJ 07206, USA",https://maps.google.com/?cid=11498657912104621887,EWR,0.15088650149836624,581.925925925926,3.4344566967964245,40.6475754,-74.1967459,Florida Saint Playfield,
"Sewaren, NJ 07077, USA",https://maps.google.com/?cid=2137635515046689752,EWR,0.2209375152008101,2528.304347826087,10.814681085431612,40.5518029,-74.2590513,Ballard Park,
"State St, Perth Amboy, NJ 08861, USA",https://maps.google.com/?cid=467496992786830978,EWR,0.03460689652297922,2598.0263157894738,11.180182263799159,40.5453499,-74.25736429999999,Buffer Strip Park,
"515-521 Cliff Rd, Sewaren, NJ 07077, USA",https://maps.google.com/?cid=16165313817449453822,EWR,0.014802008009147896,2452.6976744186045,10.680743407209416,40.5521879,-74.2541657,Memorial Plaza,
"West Ave, Port Reading, NJ 07064, USA",https://maps.google.com/?cid=14898575761790972513,EWR,0.2731894348874228,2278.0,9.783068232483712,40.5656174,-74.251496,West Ave,
"36 Avenue K, Newark, NJ 07105, USA",https://maps.google.com/?cid=17856592716901175242,EWR,0.2051311145429027,1323.6315789473683,2.1605965887988026,40.7194565,-74.14779200000001,Spa,
"40°35'16.0""N 74°13'33.0""W, Garden State Pkwy, Carteret, NJ 07008, USA",https://maps.google.com/?cid=29841268151795240,EWR,0.2408166318958215,1714.9583333333333,7.830344602794356,40.587789,-74.225823,Banick Park,
"371-395 Ferry St, Newark, NJ 07105, USA",https://maps.google.com/?cid=5549856461152542098,EWR,0.2038792514559285,556.7435897435897,2.814921152489759,40.729389999999995,-74.14588979999999,Down Bottom Farms,
"20 Frontage Rd, Newark, NJ 07114, USA",https://maps.google.com/?cid=4538224582771292410,EWR,0.1227299603364841,1086.4705882352941,1.38597772788592,40.710484799999996,-74.1569801,Battery Park,
"Unnamed Road, Sewaren, NJ 07077, USA",https://maps.google.com/?cid=9733007414585016930,EWR,0.020013887289411773,2465.6,10.56086294587913,40.553528,-74.252535,Sewaren Peninsula,
"136 Second St, Elizabeth, NJ 07206, USA",https://maps.google.com/?cid=7495779072237414871,EWR,0.1369343605859062,436.34615384615387,2.971128691183183,40.6519276,-74.1874818,Jackson Park,
"3rd St, Elizabeth, NJ 07206, USA",https://maps.google.com/?cid=17412025087515746124,EWR,0.16150328124576857,340.10526315789474,2.597023772015727,40.656720899999996,-74.1838811,Brophy Field,
"Francis St, Perth Amboy, NJ 08861, USA",https://maps.google.com/?cid=17275757440565568611,EWR,0.1335696180159925,2638.0344827586205,12.351340711015213,40.5302499,-74.2675419,Francis Street Park,
"Front St, Elizabeth, NJ 07206, USA",https://maps.google.com/?cid=2498242239055408113,EWR,0.2706800964739283,538.9230769230769,3.4369519304881537,40.6451433,-74.18876589999999,Veterans Memorial Waterfront Park,"This park on the Elizabeth River features a playground, a boardwalk & views of passing ships."
"Sycamore St, Carteret, NJ 07008, USA",https://maps.google.com/?cid=3435995483107327631,EWR,0.019638998503311522,1986.3720930232557,8.748936488547724,40.577415900000005,-74.2382914,Shortcrest Park,
"597-699 Cliff Rd, Sewaren, NJ 07077, USA",https://maps.google.com/?cid=4584214716983396080,EWR,0.2130501196934571,2472.730769230769,10.358788137512704,40.5576988,-74.25515109999999,Woodbridge Dog Park,
"36 Avenue K, Newark, NJ 07105, USA",https://maps.google.com/?cid=17856592716901175242,EWR,0.008684069112605943,340.84444444444443,2.1605965887988026,40.7194565,-74.14779200000001,Spa,
"Sewaren, NJ 07077, USA",https://maps.google.com/?cid=5875813991587174839,EWR,0.1689666126171611,2584.3333333333335,11.104559427705821,40.5454882,-74.2542529,Captain Carlsen Park,
