formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,path_id,latitude,longitude,displayName,editorialSummary
"4200 SW 61st Ave, Davie, FL 33314, USA",https://maps.google.com/?cid=3383027585072582003,FLL,0.13901037752787085,1218.5757575757575,4.655084817476931,FLL2,26.0685291,-80.2275696,Betty Booth Roberts Park & Pool,
"6061 SW 36th Ct, Davie, FL 33314, USA",https://maps.google.com/?cid=13275572815676736200,FLL,0.031491717993646764,1132.2179487179487,4.697986847986729,FLL0,26.0768317,-80.2282537,6061 SW 36th Ct,
"5750 SW 39th St, Davie, FL 33314, USA",https://maps.google.com/?cid=7611365603079495236,FLL,0.250493960703483,1057.9705882352941,4.405263741291834,FLL0,26.073275799999998,-80.2236788,5750 SW 39th St,
"SW 45th St, Davie, FL 33328, USA",https://maps.google.com/?cid=15351867958645094870,FLL,0.10073224981419045,1984.7916666666667,7.5065931461366135,FLL2,26.0649117,-80.27334619999999,SHELTER 4 LINEAR PARK TRAIL,
"4200 SW 61st Ave, Davie, FL 33314, USA",https://maps.google.com/?cid=5332781479500472857,FLL,0.17102622626976757,1228.7692307692307,4.662010169802297,FLL2,26.069045799999998,-80.2277141,Parque,
"4900 SW 87th Ave, Cooper City, FL 33328, USA",https://maps.google.com/?cid=859145351073841444,FLL,0.22083365411754832,1880.1666666666667,6.930267176249371,FLL2,26.0629307,-80.26384259999999,4900 SW 87th Ave,
"3750 S Flamingo Rd, Davie, FL 33330, USA",https://maps.google.com/?cid=16172380101970833447,FLL,0.2205928476622507,2464.769230769231,9.969774311789765,FLL0,26.0742403,-80.3133325,Flamingo Gardens,"Family-friendly botanical garden & wildlife sanctuary with a museum, shows, tram tours & cafe."
"6503 N Ocean Dr, Dania Beach, FL 33004, USA",https://maps.google.com/?cid=8526093272855598324,FLL,0.018858762916723212,1519.076923076923,2.5442748738106844,FLL5,26.066606699999998,-80.1122544,Whiskey Creek South Bridge Beach Access,
"3551 SW 142nd Ave, Davie, FL 33330, USA",https://maps.google.com/?cid=1698582919643627036,FLL,0.1346087205331654,2848.8947368421054,11.550379712456035,FLL0,26.0757745,-80.33877849999999,Camp Elmore,
"2101 NW 49th Ave, Lauderhill, FL 33313, USA",https://maps.google.com/?cid=9784419953065283995,FLL,0.05744153671961281,4297.285714285715,6.750616405916751,FLL3,26.1513062,-80.21716789999999,Lauderhill Environmental Department,
"9301 Southern Orchard Rd N, Davie, FL 33328, USA",https://maps.google.com/?cid=16159785205731926181,FLL,0.041558021205437064,1931.5238095238096,7.482708640385161,FLL0,26.0782609,-80.2731065,Highest Elevation,
"6001 Orange Dr, Davie, FL 33314, USA",https://maps.google.com/?cid=8167515990425588509,FLL,0.11627497491773432,2110.733333333333,7.9086706453814815,FLL2,26.0646912,-80.2798231,Linear Park,"36-acre city park running along the New River Canal, with a paved trail for walking & biking."
"Davie, FL 33330, USA",https://maps.google.com/?cid=11586236415189634599,FLL,0.21935984108950188,2351.285714285714,9.17662471401554,FLL2,26.0699102,-80.30053,Town of Davie Community Garden,
"NW 85th Ave, Plantation, FL 33322, USA",https://maps.google.com/?cid=15647471553967112347,FLL,0.27582246004061506,3784.0,8.498118510430466,FLL3,26.1461905,-80.2624489,Plantation Veterans Memorial Park,Park & green space featuring a memorial wall & a walking path with fitness stations & picnic tables.
"BC, Davie, FL 33314, USA",https://maps.google.com/?cid=7893866082092266057,FLL,0.07679664693500593,1253.8983050847457,5.124830971662859,FLL0,26.078616099999998,-80.2350067,BC,
"1884-1894 NW 52nd Ave, Lauderhill, FL 33313, USA",https://maps.google.com/?cid=12309208713957838280,FLL,0.12282958915314467,4332.666666666667,6.938788228170155,FLL3,26.152407399999998,-80.2205888,Basketball Court,
"4699 McIntosh Rd, Fort Lauderdale, FL 33316, USA",https://maps.google.com/?cid=4446890922265845919,FLL,0.1330451944053063,707.5555555555555,1.656883147576756,FLL5,26.063954199999998,-80.1278012,A Man Tree Park,
"4300 SW 57th Terrace, Davie, FL 33314, USA",https://maps.google.com/?cid=4117617977854673570,FLL,0.07475685137941734,1116.967741935484,4.349858930913448,FLL2,26.0674639,-80.2225548,Potter Park & Gymnasium,
"4480 SW 25th Terrace, Fort Lauderdale, FL 33312, USA",https://maps.google.com/?cid=15234267828094106815,FLL,0.03384217648472555,269.4594594594595,1.4120208021172502,FLL2,26.066535599999998,-80.1744284,4480 SW 25th Terrace,
"NW 74th Ave, Plantation, FL 33313, USA",https://maps.google.com/?cid=550634318204352560,FLL,0.053525173400526,4238.645161290323,7.8420314146866055,FLL3,26.1496966,-80.2454619,Pine Creek Park,
"6991 Orange Dr, Davie, FL 33314, USA",https://maps.google.com/?cid=6378670132068229957,FLL,0.06487752784674815,1461.1724137931035,5.430262640201825,FLL2,26.067407,-80.240005,Firefighters Park,
"Davie, FL 33314, USA",https://maps.google.com/?cid=13328030610727819573,FLL,0.0899978641054692,1294.603448275862,5.265561737135421,FLL0,26.0788419,-80.2372614,Reflection Pond,
"6500 N Ocean Dr, Dania Beach, FL 33004, USA",https://maps.google.com/?cid=7599542368273843435,FLL,0.04184765564207894,1499.888888888889,2.4968031797534147,FLL5,26.0675608,-80.11286559999999,Dania beach,
"6600 Sunset Strip, Sunrise, FL 33313, USA",https://maps.google.com/?cid=2029593906826577849,FLL,0.2546070702691305,4359.5,7.763819827691405,FLL3,26.154629,-80.238225,City Park,
"5750 SW 39th St, Davie, FL 33314, USA",https://maps.google.com/?cid=6077944036835514269,FLL,0.24843430877546588,1049.7777777777778,4.382306005989785,FLL0,26.073306799999997,-80.2233085,Davie Veterans Park,
"6503 N Ocean Dr, Dania Beach, FL 33004, USA",https://maps.google.com/?cid=5502055885980568433,FLL,0.022665371009595335,1553.2142857142858,2.5870172975994024,FLL5,26.0665718,-80.1115629,Camp Live Oak,
"Eller Dr, Fort Lauderdale, FL 33316, USA",https://maps.google.com/?cid=8439495244145610589,FLL,0.28181247709160595,1384.0,2.0856142674111653,FLL1,26.082517499999998,-80.1209618,Marnelli Park,
"2987 SW 45th St, Fort Lauderdale, FL 33312, USA",https://maps.google.com/?cid=4452466982260001008,FLL,0.03490345567084361,403.3333333333333,1.8743290471687157,FLL2,26.066589,-80.18215119999999,Griffin Marine Park,
