formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,path_id,latitude,longitude,displayName,editorialSummary
"Jardim Renata, Arujá - SP, 07402-085, Brazil",https://maps.google.com/?cid=8593614007262498639,GRU,0.14500672432473463,2526.0,10.131180372189789,GRU0,-23.3958324,-46.319244399999995,ÁREA DE LAZER,
"R. Elías Dabarian, 887 - Res. Parque Cumbica, Guarulhos - SP, 07174-020, Brazil",https://maps.google.com/?cid=11233417110843875078,GRU,0.07754856313721664,731.8275862068965,3.268253073242593,GRU0,-23.4229321,-46.4233749,Bosque Inoocop,
"R. Belo Jardim, 556-572 - Jardim Santa Clara, Guarulhos - SP, 07123-100, Brazil",https://maps.google.com/?cid=978992693437946918,GRU,0.12481659409294703,2017.3953488372092,3.509005647658555,GRU1,-23.444184,-46.527606,Praça 2º Sargento Edson Batista,
"Jardim Modelo, Arujá - State of São Paulo, 07400-530, Brazil",https://maps.google.com/?cid=8137296636379576781,GRU,0.044825072237393494,2505.0188679245284,9.933224355328829,GRU0,-23.3951365,-46.3227109,Festa das nações,
"Jardim Renata, Arujá - SP, 07402-085, Brazil",https://maps.google.com/?cid=14356212520425569124,GRU,0.03823080961671572,2558.4084507042253,10.279745330812394,GRU0,-23.3936147,-46.3175027,R. Sonho meu,
"R. Luís Silvestri, 1-53 - Jardim Bom Clima, Guarulhos - SP, 07122-090, Brazil",https://maps.google.com/?cid=3005416293360656751,GRU,0.08663252145692704,1875.3090909090909,2.9241784820068726,GRU1,-23.445042299999997,-46.5180116,Parque da Portuguesa,
"Praça Maria Augusta Rinaldi, 66 - Res. Parque Cumbica, Guarulhos - SP, 07174-433, Brazil",https://maps.google.com/?cid=13966935790364895656,GRU,0.1811889733431415,787.0,3.5065868753474048,GRU0,-23.4235281,-46.4193214,Praça K,
"R. Carmela Antônia Fanganiello Cechianato, 70-150 - Parque Renato Maia, Guarulhos - SP, 07115-363, Brazil",https://maps.google.com/?cid=8466492106330725970,GRU,0.06363570395529074,2300.9,4.138277280483642,GRU1,-23.4477548,-46.5369698,Praça da Justiça na Conciliação,
"R. J2, 2-46 - Res. Parque Cumbica, Guarulhos - SP, 07174-421, Brazil",https://maps.google.com/?cid=12565527989001007752,GRU,0.24336370502089563,774.2156862745098,3.4643342984993484,GRU0,-23.4246519,-46.419719699999995,Praça J,
"R. Rafael Fantazini, 50-146 - Jardim Toscana, Guarulhos - SP, 07121-360, Brazil",https://maps.google.com/?cid=10696247367652112333,GRU,0.2610920870383411,1892.7272727272727,3.344541010030215,GRU1,-23.4494057,-46.5236117,Praça Mara Vitti,
"125 07122 090 - R. Luís Silvestri, 55 - Jardim Bom Clima, Guarulhos - SP, 07122-090, Brazil",https://maps.google.com/?cid=8987498311599686413,GRU,0.17247074439880028,1712.8863636363637,2.877969946562189,GRU1,-23.446162299999997,-46.5169601,Square Portuguesinha,
"R. Irineu de Almeida, 134 - Jardim Rossi, Guarulhos - SP, 07130-580, Brazil",https://maps.google.com/?cid=2048515209671176205,GRU,0.05142460930968855,1914.0222222222221,3.2625268282162705,GRU1,-23.445887199999998,-46.523275899999994,Praça prefeito,
"R. N1, 13 - Res. Parque Cumbica, Guarulhos - SP, 07174-450, Brazil",https://maps.google.com/?cid=9072895103423365949,GRU,0.20116661185157744,854.6538461538462,3.7028870119200135,GRU0,-23.4230278,-46.4162677,Praça N,
"R. Luís Silvestri - Jardim Bom Clima, Guarulhos - SP, 07122-090, Brazil",https://maps.google.com/?cid=7178854659826501932,GRU,0.1593643901577716,1715.3111111111111,2.880855563096865,GRU1,-23.4459751,-46.5170603,Parque Onofre Miranda,
"Av. Renova dos Santos, 460 - Jardim Vitoria, Arujá - SP, 07432-575, Brazil",https://maps.google.com/?cid=16745311929768874642,GRU,0.19641544509629963,2349.418181818182,9.276150153930852,GRU0,-23.4001178,-46.331941099999995,Alameda das Cerejeiras,
"Arujá - State of São Paulo, Brazil",https://maps.google.com/?cid=495027028618382680,GRU,0.17870511571391204,2872.9622641509436,12.449684146708604,GRU0,-23.3814377,-46.2857778,Football field,
"R. Antônio Aguiar, 1 - Jardim Aida, Guarulhos - SP, 07093-250, Brazil",https://maps.google.com/?cid=11433474416539919899,GRU,0.18896530612711127,2571.5185185185187,4.696501754156964,GRU1,-23.453920699999998,-46.5443906,Praça do Picuí,
"Av.Brigadeiro Faria Lima, 1667 - Jardim Cocaia, Guarulhos - SP, 07130-000, Brazil",https://maps.google.com/?cid=759238900705342520,GRU,0.27063719002300723,1674.090909090909,3.1113440116564606,GRU1,-23.4402439,-46.5218702,Praça Maria Augusta Rinaldi,
"Jardim Pres. Dutra, Guarulhos - State of São Paulo, 07174-391, Brazil",https://maps.google.com/?cid=4128765299072852019,GRU,0.07021373130904023,789.1066666666667,3.478323237421525,GRU0,-23.421960799999997,-46.4202303,Praça G,
"Estr. do kondo, 374-400 - Mirante do Arujá, Arujá - SP, 07432-575, Brazil",https://maps.google.com/?cid=4898837428741979736,GRU,0.06591452584212361,2704.418181818182,11.227072239924224,GRU0,-23.3881589,-46.3036901,Youth Park,
"Inocoop, Guarulhos - SP, 07174-390, Brazil",https://maps.google.com/?cid=4050443572760774470,GRU,0.027376502097366716,763.7042253521126,3.405134680276008,GRU0,-23.4216154,-46.4215399,Praça F,
"Viela Leopolis, 113 - Jardim Pres. Dutra, Guarulhos - SP, 07173-013, Brazil",https://maps.google.com/?cid=15808040974248864704,GRU,0.12234554518172447,585.013698630137,2.775502196156007,GRU0,-23.425630200000004,-46.4306346,VIELA do LEGO,
"Av. João Manoel, 1095 - Centro, Arujá - SP, 07400-615, Brazil",https://maps.google.com/?cid=12802987236510444920,GRU,0.02104564033141949,2357.621951219512,9.282418080870553,GRU0,-23.396817499999997,-46.3328735,Pump Track Arujá,
"R. João Leite Camargo, 81 - Arujá América, Arujá - SP, 07400-000, Brazil",https://maps.google.com/?cid=13944133700715566210,GRU,0.1590771790357382,2604.276595744681,10.677781188392991,GRU0,-23.3890229,-46.312467999999996,Barbosa Silva Representeacoes Comerciais,
"R. D2, 118 - Inocoop, Guarulhos - SP, 07174-470, Brazil",https://maps.google.com/?cid=16854901587941100727,GRU,0.16223706153241912,744.0133333333333,3.3140330991715983,GRU0,-23.4240289,-46.422314799999995,Praça D,
"Jardim Pres. Dutra, Guarulhos - State of São Paulo, 07174-392, Brazil",https://maps.google.com/?cid=14039363991399122917,GRU,0.09543345918655873,746.038961038961,3.3562132324217266,GRU0,-23.4228421,-46.4219632,Praça E,
"R. dos Motoristas, 76 - Vila Sao Paulo, Guarulhos - SP, 07094-080, Brazil",https://maps.google.com/?cid=14611471983582282776,GRU,0.17549189509445604,2388.1206896551726,4.585439844603722,GRU1,-23.452979,-46.5428563,JJ Park Jump and Joy Diversões,
"R. Jovens da Verdade, 55 - Mirante, Arujá - SP, 07400-000, Brazil",https://maps.google.com/?cid=16917282876077146469,GRU,0.06358846512075489,2803.1625,12.184001627732467,GRU0,-23.3842552,-46.2892118,Youth of Truth,
"R. José Moreira da Costa, 46 - Jardim Santa Clara, Guarulhos - SP, 07114-280, Brazil",https://maps.google.com/?cid=17614608645985598245,GRU,0.036762572825409914,2118.9302325581393,3.814415808170286,GRU1,-23.4479465,-46.5316942,Praça Valdevino de castro pereira,
"R. Ibicuí, 36 - Jardim Pres. Dutra, Guarulhos - SP, 07173-020, Brazil",https://maps.google.com/?cid=5173061455765370123,GRU,0.22390002129943798,580.2045454545455,2.782957160159211,GRU0,-23.427151799999997,-46.4301254,Iguape capuava do mumuna,
"Jardim Pres. Dutra, Guarulhos - SP, 07172-450, Brazil",https://maps.google.com/?cid=1935772323441056679,GRU,0.051992648557307154,724.3186813186813,3.2532518623399196,GRU0,-23.422608,-46.4237202,Pet Park - Inocoop,
"R. Venâncio, 167 - Res. Parque Cumbica, Guarulhos - SP, 07174-040, Brazil",https://maps.google.com/?cid=4414040585537549518,GRU,0.11322438920046193,802.3625,3.5528465853291076,GRU0,-23.4223058,-46.4189087,Praça L,
