formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,path_id,latitude,longitude,displayName,editorialSummary
"115C Vassall Rd, London SW9 6NJ, UK",https://maps.google.com/?cid=3260487920848659449,LHR,0.0011814044518055268,4108.050632911392,15.31466916766189,LHR0,51.4783216,-0.106301,Mimi Gardens,
"Richmond TW9, UK",https://maps.google.com/?cid=11776230609880169311,LHR,0.14253379470698138,2110.213333333333,8.076822113877396,LHR0,51.4747835,-0.2743933,Pitches,
"London SE5 0YD, UK",https://maps.google.com/?cid=17146961383482962587,LHR,0.08936453211794709,4215.757142857143,15.614368946160562,LHR0,51.4803752,-0.0994525,Camberwell Triangle Allotments,
"Richmond TW9 3DU, UK",https://maps.google.com/?cid=18109120481797944001,LHR,0.12799765335800975,1918.2162162162163,7.469031637325078,LHR0,51.4810405,-0.2891948,Agius Evolution Garden,
"41, Hannah Barlow House, 4 Portland Grove, London SW8 1JW, UK",https://maps.google.com/?cid=6324727737033827042,LHR,0.12971648558353963,3957.1403508771928,14.681908294216592,LHR0,51.4752686,-0.1208818,Portland Grove Green,
"Marbaix Gardens, Isleworth TW7, UK",https://maps.google.com/?cid=15193826114921438407,LHR,0.08881844207366264,1203.5045045045044,4.94826985480374,LHR0,51.480006499999995,-0.3479557,Thornbury Park,
"13 Wyfold Rd, London SW6 6SE, UK",https://maps.google.com/?cid=15865367405776379506,LHR,0.014272796785783881,2876.88,10.745971972078731,LHR0,51.478535199999996,-0.2125693,Gardening Team London,
"Richmond TW9 3AQ, UK",https://maps.google.com/?cid=6577173919546375338,LHR,0.10514765583026467,1821.8444444444444,7.098767187618978,LHR0,51.4804915,-0.2977545,Rhododendron Dell,
"7 High Park Rd, Richmond TW9 4BL, UK",https://maps.google.com/?cid=5092561238260313134,LHR,0.13737130640112352,2030.6455696202531,7.80719574695934,LHR0,51.474891199999995,-0.2806686,Fred Eastman,
"Claylands Rd, London SW8 1PH, UK",https://maps.google.com/?cid=17388829568465063430,LHR,0.13254604742171577,3982.2380952380954,14.901338975353958,LHR0,51.481367,-0.11610949999999999,Claylands Road,
"Royal Botanic Gardens, Kew, Richmond TW9 3AE, UK",https://maps.google.com/?cid=18271681902052449125,LHR,0.16493598430110532,1841.9464285714287,7.204116805992602,LHR0,51.4818856,-0.2955212,Kew’s Children’s Garden,
"Courland Grove, London SW8 2PX, UK",https://maps.google.com/?cid=13132519174871907084,LHR,0.21731272539070953,3690.0,14.251016287691765,LHR0,51.4732251,-0.13084569999999998,Courland Grove,
"Brent Lea, Brentford TW8 8JQ, UK",https://maps.google.com/?cid=10324534915470855136,LHR,0.10702978503228892,1619.5670103092784,6.359262389571394,LHR0,51.4804988,-0.3150291,Brent Lea Dog Park,
"WWT London Wetland Centre, Queen Elizabeth Walk, London SW13 8AB, UK",https://maps.google.com/?cid=5981474832976453061,LHR,0.034698548324832844,2652.7166666666667,9.982933591233106,LHR0,51.477366499999995,-0.23023179999999996,WWF hide,
"Camberwell, London SE5 7NJ, UK",https://maps.google.com/?cid=1094022062244470022,LHR,0.0001615430865922839,4263.9277108433735,15.978778831334818,LHR0,51.478300499999996,-0.0908595,The Wildlife Triangle,
"15 Eythorne Rd, London SW9 7RH, UK",https://maps.google.com/?cid=1698100046095496343,LHR,0.16058746500846793,4058.177777777778,15.167833501965308,LHR0,51.4745601,-0.1095688,15 Eythorne Rd,
"Hounslow, UK",https://maps.google.com/?cid=388334226427362050,LHR,0.06746409289009847,1119.4881889763778,4.66860141379949,LHR0,51.4794947,-0.35440279999999996,HCC,
"Marvell House, Camberwell Rd, London SE5 7JD, UK",https://maps.google.com/?cid=7784238460479747679,LHR,0.02432249569465625,4236.047619047619,15.88655221976818,LHR0,51.477737499999996,-0.0929768,Broome Way Green,
"40 Harte Rd, Hounslow TW3 4LD, UK",https://maps.google.com/?cid=7003211743132699651,LHR,0.15172656907996235,916.7051282051282,3.854070724784209,LHR0,51.4743491,-0.37259319999999996,Lampton Park,"Green 40-acre park with sports fields, public tennis courts, a playground & bowling green."
"London SW11 4NJ, UK",https://maps.google.com/?cid=18362940952636751425,LHR,0.036406255171892485,3520.3333333333335,13.158110421808118,LHR0,51.4791075,-0.1564981,Battersea Park,"Large parkland with woods, boating lake, peace pagoda, adventure playground and children's zoo."
"2 Brideale Cl, London SE15 6NB, UK",https://maps.google.com/?cid=13939506809524803165,LHR,0.1453256465497086,4384.244897959184,16.778676467301707,LHR0,51.481699799999994,-0.0724599,M & J gardens and fencing,
"London SW10 0UU, UK",https://maps.google.com/?cid=15533738443933152212,LHR,0.0852105177982672,3259.8651685393256,12.124315067696728,LHR0,51.4762676,-0.1803704,Admiral Square,
"265 Southampton Way, London SE5 7EN, UK",https://maps.google.com/?cid=2180953164054353706,LHR,0.09073817423185535,4405.373333333333,16.52122791424431,LHR0,51.4762085,-0.0781635,W. Uden & Sons Family Funeral Directors Camberwell,
"305 Battersea Park Rd, London SW11 4NF, UK",https://maps.google.com/?cid=6158681039884144636,LHR,0.16316027493837598,3543.183673469388,13.244588437446428,LHR0,51.4744709,-0.1542618,Doddington and Rollo Estate Gardens,
"Horton Rd, Stanwell Moor, Staines TW19 6AG, UK",https://maps.google.com/?cid=11584342178845508015,LHR,0.17600156725905897,1613.1237113402062,1.6803724414564756,LHR1,51.463231199999996,-0.49914499999999995,Horton Rd - Heathrow Airport Plane Spotting Area | Cpt Nick Aviation,
"Dukes Meadows, Chiswick, London W4 2SH, UK",https://maps.google.com/?cid=5329125230395385747,LHR,0.1704173493595022,2336.7105263157896,8.91489775043652,LHR0,51.474170699999995,-0.25488079999999996,Masonian Sports Ground,
"135 Camberwell New Rd, London SE5 0AT, UK",https://maps.google.com/?cid=4069972454245395800,LHR,0.026429651820103414,4122.671052631579,15.379111104992418,LHR0,51.4789093,-0.1048344,Dancing in the Shadow of Henry,
"Peckham, London SE15 6DB, UK",https://maps.google.com/?cid=2129633914815887816,LHR,0.022020244117701687,4387.448717948718,16.779904623737956,LHR0,51.477811200000005,-0.0722124,Jowett Street Park,
"Thames City, Nine Elms, London SW8 5GZ, UK",https://maps.google.com/?cid=8075676570703080090,LHR,0.17022921354045542,3881.230769230769,14.385196296332145,LHR0,51.4822329,-0.12819039999999998,Nine Elms Park,
"Prince of Wales Dr, London SW11 4HG, UK",https://maps.google.com/?cid=1566451915577108225,LHR,0.1521776281374797,3437.4920634920636,12.881581240281271,LHR0,51.4747226,-0.162706,Park Mansions,
"Hounslow TW3, UK",https://maps.google.com/?cid=6978500335339333094,LHR,0.1692316295981266,1107.3035714285713,4.5777479674785475,LHR0,51.473991,-0.35571569999999997,Kingsley Avenue Park,
"WWT London Wetland Centre, Queen Elizabeth Walk, London SW13 8AB, UK",https://maps.google.com/?cid=7239605816857002931,LHR,0.11385785614622847,2640.777777777778,9.987100330413512,LHR0,51.480818299999996,-0.2304523,Reservoir lagoon,
"15 Eythorne Rd, London SW9 7RH, UK",https://maps.google.com/?cid=2511446136155722486,LHR,0.14414521432277236,4048.9,15.168953390392714,LHR0,51.4749422,-0.1095529,Myatt's Field Common Park,
"100 Primrose Pl, Isleworth TW7 5BE, UK",https://maps.google.com/?cid=12591350428124940940,LHR,0.16499470848796585,1403.3157894736842,5.612249465224903,LHR0,51.474143399999996,-0.3316634,100 Primrose Pl,
"21 Chester Ct, Lomond Grove, London SE5 7HS, UK",https://maps.google.com/?cid=1686300831528855859,LHR,0.010807210597345155,4241.976744186047,15.872686653661747,LHR0,51.4785536,-0.0933389,Chester Court Green,
"Marbaix Gardens, Isleworth TW7 4FD, UK",https://maps.google.com/?cid=17576471440613490638,LHR,0.08386502593670694,1212.3008849557523,4.986320447750336,LHR0,51.479893499999996,-0.34704029999999997,Marbaix Gardens,
"FJFJ+VG, Hounslow TW3 4JG, UK",https://maps.google.com/?cid=4180792744279159147,LHR,0.15049004874462596,973.2266666666667,4.014639607168122,LHR0,51.4743895,-0.3688584,Green square,
"Lonsdale Rd, London SW13 9QL, UK",https://maps.google.com/?cid=6106396655614142740,LHR,0.0007547541817365073,2413.771186440678,9.177673690599349,LHR0,51.4781233,-0.2490289,Small Profit Dock Gardens,
"London SW11 4NJ, UK",https://maps.google.com/?cid=13839456799394124169,LHR,0.04009614039763003,3494.80198019802,13.09676795921036,LHR0,51.4773292,-0.15781599999999998,Sub Tropical Garden,
"London SE15, UK",https://maps.google.com/?cid=8332297258330583782,LHR,0.13218853804430408,4377.666666666667,16.986646606661264,LHR0,51.4813228,-0.06759699999999999,Leyton Square Recreation Ground,
"London SE5, UK",https://maps.google.com/?cid=15956343959582592227,LHR,0.15337405436070914,4234.6,15.901950361683882,LHR0,51.4747389,-0.092513,Greater London,
"London SW11 4NJ, UK",https://maps.google.com/?cid=4169574833991963897,LHR,0.008969004422848398,3613.0760869565215,13.423215251626278,LHR0,51.4784724,-0.15029109999999998,Rosery Gardens,
"27 Kenchester Cl, London SW8 2TY, UK",https://maps.google.com/?cid=11086429864251774336,LHR,0.01679716565297203,3908.7912087912086,14.551156799053777,LHR0,51.478670699999995,-0.1240733,Rosetta Close Green,
"Wyatt Dr, London SW13 8AB, UK",https://maps.google.com/?cid=1110094038260910312,LHR,0.06651746317402443,2606.5510204081634,9.836435877098104,LHR0,51.476621300000005,-0.23358769999999998,Slate Garden,
"Camberwell, London SE5 7AA, UK",https://maps.google.com/?cid=527705399030286449,LHR,0.14816716423945064,4231.942307692308,15.896087593161944,LHR0,51.4748598,-0.09265229999999999,Camberwell Green,
"6 Parkham St, London SW11 3UA, UK",https://maps.google.com/?cid=9745702324990760296,LHR,0.12163525868751734,3350.3333333333335,12.470653524944284,LHR0,51.4754273,-0.1722823,Burnett Court Green,
"37 Holland Grove, London SW9 6ER, UK",https://maps.google.com/?cid=8306218050037775887,LHR,0.01692468901620454,4048.7710843373493,15.183137278271323,LHR0,51.478685299999995,-0.1093788,Oval Community Park,
"Battersea Park, London SW11 4NJ, UK",https://maps.google.com/?cid=4513420250335037786,LHR,0.13656998512217577,3562.171875,13.293724750324332,LHR0,51.4814363,-0.1535241,Thrive Garden,
"WWT London Wetland Centre, Queen Elizabeth Walk, London SW13 8AB, UK",https://maps.google.com/?cid=13973374644075705097,LHR,0.004360669211473532,2616.196261682243,9.870733978754465,LHR0,51.478066899999995,-0.2328961,Main Lake,
"149 Benhill Rd, London SE5 7LZ, UK",https://maps.google.com/?cid=10727795932685959422,LHR,0.10394173461275727,4311.492063492064,16.17934751757776,LHR0,51.4758929,-0.0860991,Brunswick Park,
"66 Edmund St, London SE5 7NR, UK",https://maps.google.com/?cid=16055462142947986871,LHR,0.06386901834323916,4276.76,16.007059335276942,LHR0,51.479788899999996,-0.09028309999999999,66 Edmund St,
