formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,path_id,latitude,longitude,displayName,editorialSummary
"5005 Minnetonka Blvd, St Louis Park, MN 55416, USA",https://maps.google.com/?cid=18425552415015029312,MSP,0.12802350987213992,1984.625,7.487921993257408,MSP1,44.9481591,-93.34301149999999,St. Louis Park,
"3297 Gorham Ave, St Louis Park, MN 55426, USA",https://maps.google.com/?cid=9367890598406669169,MSP,0.1742452211997299,2120.551724137931,8.282157284317977,MSP0,44.9418601,-93.3684445,Paul Frank Field,
"6801 W 33rd St, St Louis Park, MN 55426, USA",https://maps.google.com/?cid=3280631863785251330,MSP,0.03931481180402751,2119.1,8.22086735443474,MSP0,44.943610199999995,-93.3655321,Parkview Park,
"5600 Chicago Ave, Minneapolis, MN 55417, USA",https://maps.google.com/?cid=9862289730872713202,MSP,0.012782050042795673,456.3,2.4270259598977004,MSP0,44.9004195,-93.2640205,Todd Park,Baseball & softball fields plus a tennis court & playground in a park that hosts civic festivals.
"Lynnhurst, Minneapolis, MN 55419, USA",https://maps.google.com/?cid=2637326308143490523,MSP,0.0045403640918422646,1039.046511627907,4.410355542283677,MSP0,44.9156447,-93.29838,Lake Harriet Flowage,
"B Earl Ainsworth Park, 7700 W 28th St, St Louis Park, MN 55426, USA",https://maps.google.com/?cid=7402450891967618938,MSP,0.19767480199022425,2361.1052631578946,9.020638696882315,MSP0,44.9534431,-93.37611679999999,Oak Hill Park Splash Pad,
"9350 Cedar Lk Rd S, St Louis Park, MN 55426, USA",https://maps.google.com/?cid=7301790211291529269,MSP,0.09202729263162886,2630.0882352941176,10.13134104373538,MSP0,44.9571186,-93.39964169999999,Cedar Manor Park,
"44°55'0""N 93°19'W, 26 8th Ave, Minneapolis, MN 55410, USA",https://maps.google.com/?cid=5280587005253440894,MSP,0.03194058464168518,1370.24,5.585276935822738,MSP0,44.923899999999996,-93.3194,Trolley Path Garden,
"11597 Oberlin Rd, Minnetonka, MN 55305, USA",https://maps.google.com/?cid=16319489239306910640,MSP,0.1970687718479705,3004.1111111111113,11.920435203473234,MSP0,44.9752576,-93.42681639999999,Oberlin Park,"Green space with a modern playground & softball field, plus tennis courts & walking trails."
"4401 Thomas Ave S, Minneapolis, MN 55410, USA",https://maps.google.com/?cid=16755863910614194093,MSP,0.010996905515719612,1294.78,5.290103377167538,MSP0,44.922374,-93.31364479999999,Dell Park,
"Freedom Park, 3261 Gorham Ave, St Louis Park, MN 55426, USA",https://maps.google.com/?cid=14769834613475513406,MSP,0.1520895376375831,2133.0882352941176,8.311054371493942,MSP0,44.9424425,-93.36865159999999,Freedom Park,
"3450 Glenhurst Ave, St Louis Park, MN 55416, USA",https://maps.google.com/?cid=7761628363465132843,MSP,0.02607907254461121,1776.111111111111,6.694381900036013,MSP1,44.9407509,-93.3305889,Bass Lake Park,
"230 W Elmwood Pl, Minneapolis, MN 55419, USA",https://maps.google.com/?cid=637466618725391066,MSP,0.04479680083922334,788.9090909090909,3.517224136110537,MSP0,44.909562699999995,-93.2822166,Gladstone Triangle,
"Minnetonka, MN 55305, USA",https://maps.google.com/?cid=17950737151671867455,MSP,0.11054821230798353,2747.962962962963,10.421942618971734,MSP0,44.9625905,-93.4018742,Ford Park,
"Minneapolis, MN 55416, USA",https://maps.google.com/?cid=14623042300014818095,MSP,0.05270947921985423,2015.3636363636363,7.4553038159956415,MSP1,44.9465193,-93.3439291,Nelson Park,
"Virginia Ave S, St Louis Park, MN 55426, USA",https://maps.google.com/?cid=16906792936003641577,MSP,0.06063454258544208,2419.6206896551726,9.323917115626054,MSP0,44.9535264,-93.3833985,Texa-Tonka Park,
"7700 W 28th St, St Louis Park, MN 55426, USA",https://maps.google.com/?cid=16431886161286916555,MSP,0.20552613178393814,2366.5,9.027655777454621,MSP0,44.953621,-93.376124,Ainsworth Park,
"3261 Gorham Ave, St Louis Park, MN 55426, USA",https://maps.google.com/?cid=10392641312241950951,MSP,0.1520895376375831,2133.0882352941176,8.311054371493942,MSP0,44.9424425,-93.36865159999999,Freedom Park,
"15 Elmwood Pl E, Minneapolis, MN 55419, USA",https://maps.google.com/?cid=151757004390471989,MSP,0.16728932040868183,720.3611111111111,3.3226443251363746,MSP0,44.9100229,-93.27696929999999,Elmwood Triangle,
"4310 Chowen Ave S, Minneapolis, MN 55410, USA",https://maps.google.com/?cid=2990197802854525885,MSP,0.14466201420852332,1452.5172413793102,5.8655437910388715,MSP0,44.9241621,-93.32582819999999,Waveland Park,
"Eagan, MN 55121, USA",https://maps.google.com/?cid=7525923690868516931,MSP,0.14444228330067554,1366.4761904761904,6.037034278658647,MSP2,44.83904,-93.1144649,Bur Oaks Park,
"1300 W 42nd St, Minneapolis, MN 55409, USA",https://maps.google.com/?cid=12520632368680842433,MSP,0.11175477914242313,1242.0666666666666,4.780911973227471,MSP1,44.9275251,-93.2953725,Lyndale Park Gardens,"Quiet nature hub with 4 themed gardens showcases roses, perennials & plants that attract wildlife."
