formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,path_id,latitude,longitude,displayName,editorialSummary
"West Valley City, UT 84119, USA",https://maps.google.com/?cid=443916673657735225,SLC,0.09690817795526091,1562.12,6.579845381608215,SLC1,40.693948899999995,-111.9619391,Fairbourne Corner,
"2800 Hampton Park Dr, West Valley City, UT 84119, USA",https://maps.google.com/?cid=17520514195582038948,SLC,0.22510109818226476,1248.0714285714287,5.376725004196786,SLC1,40.710812700000005,-111.97008129999999,Windsor Park,
"3870 Christopherson Dr, West Valley City, UT 84120, USA",https://maps.google.com/?cid=11876264813993304049,SLC,0.00663285632778498,1991.2571428571428,7.925668079933753,SLC0,40.6737724,-111.983719,Park Central Dog Park,
"2868 W 6620 S, West Jordan, UT 84084, USA",https://maps.google.com/?cid=4289724061859158479,SLC,0.21703567756790157,2830.4848484848485,10.907251165405961,SLC1,40.631081699999996,-111.96072609999999,Handcart Park,
"Salt Lake City, UT 84129, USA",https://maps.google.com/?cid=11208923475428588400,SLC,0.17097225551246845,2194.487804878049,8.949246006896317,SLC0,40.6589641,-111.98429379999999,Southridge Park,"Busy, 40-acre park with courts & fields for many sports, including soccer, tennis & basketball."
"3841 W 4990 S, Salt Lake City, UT 84129, USA",https://maps.google.com/?cid=4936534747988769160,SLC,0.10266429992772033,2194.487804878049,8.93023686311817,SLC0,40.6592072,-111.9830133,Samoan Cricket Pitch (Kilikiti),
"5100 S 2700 W, Taylorsville, UT 84129, USA",https://maps.google.com/?cid=1231496575455631135,SLC,0.10060314323431271,2215.7872340425533,8.826905649558645,SLC1,40.6612267,-111.9619532,Gary C. Swensen Valley Regional Park,"Ample open space with a disk golf course, a playground, basketball courts, athletic fields & a pool."
"4266 S 3680 W, West Valley City, UT 84120, USA",https://maps.google.com/?cid=7337502308201404485,SLC,0.25789258466713816,1919.0555555555557,7.610640248737981,SLC0,40.678253999999995,-111.9792636,Wheatland Park,
"S Andes Way, Taylorsville, UT 84129, USA",https://maps.google.com/?cid=16118374650728001989,SLC,0.2567413074430378,2832.6666666666665,10.857907193028863,SLC1,40.6317465,-111.9615645,Ivory Highlands Park,
"5140 3760 W, Salt Lake City, UT 84129, USA",https://maps.google.com/?cid=13368043107828098821,SLC,0.11730936173056253,2227.4893617021276,9.002398840532797,SLC0,40.6581634,-111.9830605,British Cricket Pitch,
"West Jordan, UT 84088, USA",https://maps.google.com/?cid=7868124225656000712,SLC,0.1063409918863099,3784.8125,14.073553601266674,SLC3,40.58557,-111.953367,Browns Meadow Park,
"3275 3200 W, West Valley City, UT 84119, USA",https://maps.google.com/?cid=10326565262742223621,SLC,0.07688232016638216,1442.6727272727273,6.041086583511771,SLC1,40.701428299999996,-111.96614489999999,Hillsdale Park,
"10200 2200 W, South Jordan, UT 84095, USA",https://maps.google.com/?cid=13960932813582153876,SLC,0.09125450944622512,4125.476190476191,15.400607984005175,SLC3,40.5667187,-111.9473737,Prospector Park,
"2888 W 4700 S, Salt Lake City, UT 84129, USA",https://maps.google.com/?cid=907962911401332874,SLC,0.04608908135263144,2085.448275862069,8.302766161971553,SLC1,40.6688622,-111.96178669999999,Arbor Manor Event Venue & Garden,
"9548 Providence Way, South Jordan, UT 84095, USA",https://maps.google.com/?cid=9512740721009777452,SLC,0.043941355954924904,3857.793103448276,14.588878973556259,SLC3,40.578227299999995,-111.9512882,Jordan Ridge Park,
"West Jordan, UT 84088, USA",https://maps.google.com/?cid=3391175326785071107,SLC,0.10655032621544253,3784.8125,14.07271529480815,SLC3,40.58558180000001,-111.9533725,Brown's Meadow Park,
"2101 W Presidents Dr, West Valley City, UT 84120, USA",https://maps.google.com/?cid=1710357175560455547,SLC,0.221091948629059,1044.6363636363637,4.47338695102382,SLC0,40.7238873,-111.98522539999999,Frontage Pond,
"West Valley City, UT 84120, USA",https://maps.google.com/?cid=5236779061002224644,SLC,0.29947757761983146,1815.7333333333333,7.216284029258262,SLC0,40.6844099,-111.9908145,Country Meadows Park,
"4014 W 2920 S, West Valley City, UT 84120, USA",https://maps.google.com/?cid=2813872081231365386,SLC,0.044780925509334824,1387.575,5.619385026815432,SLC0,40.7073478,-111.9868736,Back Nine Park,
"3590 Market St, West Valley City, UT 84119, USA",https://maps.google.com/?cid=10568341615624371582,SLC,0.12175435624229138,1562.12,6.576412489974666,SLC1,40.6940452,-111.9614728,Fairbourne Station Promenade & Plaza,
"3275 3200 W, West Valley City, UT 84119, USA",https://maps.google.com/?cid=36021247562920748,SLC,0.1257711687961157,1428.857142857143,6.000063268968819,SLC1,40.70194980000001,-111.9671449,VMO Community Garden,
"3020 Westcove Dr, West Valley City, UT 84119, USA",https://maps.google.com/?cid=16561686536570003738,SLC,0.1482222300208238,2019.8076923076924,8.153158942636967,SLC1,40.670876899999996,-111.9639811,Westcove Park,
