timestamp,flight_icao,airline_icao,lat,lng,alt,dep_iata,arr_iata,status
2023-11-11 10:57:14.125308,RPA4626,RPA,39.854874,-75.284888,1463,PHL,DCA,en-route
2023-11-11 10:57:14.125308,JIA5645,JIA,39.841507,-75.340059,3038,PHL,BUF,en-route
2023-11-11 10:57:14.125308,DAL2270,DAL,39.738992,-75.079102,2589,ATL,PHL,en-route
2023-11-11 10:57:31.693617,RPA4626,RPA,39.847319,-75.297363,1837,PHL,DCA,en-route
2023-11-11 10:57:31.693617,JIA5645,JIA,39.836053,-75.357666,3563,PHL,BUF,en-route
2023-11-11 10:57:31.693617,DAL2270,DAL,39.75454,-75.069092,2562,ATL,PHL,en-route
2023-11-11 10:57:52.323064,RPA4626,RPA,39.847319,-75.297363,1837,PHL,DCA,en-route
2023-11-11 10:57:52.323064,JIA5645,JIA,39.836053,-75.357666,3563,PHL,BUF,en-route
2023-11-11 10:57:52.323064,DAL2270,DAL,39.75454,-75.069092,2562,ATL,PHL,en-route
2023-11-11 10:58:09.263422,JIA5645,JIA,39.829489,-75.379333,4163,PHL,BUF,en-route
2023-11-11 10:58:09.263422,RPA4626,RPA,39.837158,-75.31319,1811,PHL,DCA,en-route
2023-11-11 10:58:09.263422,JIA5358,AAL,39.859935,-75.278076,561,PHL,MSP,en-route
2023-11-11 10:58:09.263422,DAL2270,DAL,39.771515,-75.058295,2562,ATL,PHL,en-route
2023-11-11 10:58:28.806886,RPA4626,RPA,39.806958,-75.35907,4488,PHL,DCA,en-route
2023-11-11 10:58:28.806886,JIA5358,JIA,39.847046,-75.328834,1463,PHL,MSP,en-route
2023-11-11 10:58:28.806886,DAL2270,DAL,39.813217,-75.032024,2562,ATL,PHL,en-route
2023-11-11 10:58:45.022441,JIA5358,JIA,39.841415,-75.351881,2211,PHL,MSP,en-route
2023-11-11 10:58:45.022441,PDT5710,PDT,39.862015,-75.268648,436,PHL,SYR,en-route
2023-11-11 10:58:45.022441,DAL2270,DAL,39.829164,-75.026184,2438,ATL,PHL,en-route
2023-11-11 10:59:01.988105,JIA5358,JIA,39.836151,-75.373137,3038,PHL,MSP,en-route
2023-11-11 10:59:01.988105,PDT5710,PDT,39.858307,-75.283754,1037,PHL,SYR,en-route
2023-11-11 10:59:01.988105,DAL2270,DAL,39.843796,-75.024261,2336,ATL,PHL,en-route
2023-11-11 10:59:19.850249,JIA5358,JIA,39.829788,-75.397976,3612,PHL,MSP,en-route
2023-11-11 10:59:19.850249,PDT5710,PDT,39.853317,-75.302025,1486,PHL,SYR,en-route
2023-11-11 10:59:19.850249,DAL2270,DAL,39.858445,-75.026672,2412,ATL,PHL,en-route
2023-11-11 10:59:36.393552,JIA5358,JIA,39.829788,-75.397976,3612,PHL,MSP,en-route
2023-11-11 10:59:36.393552,PDT5710,PDT,39.853317,-75.302025,1486,PHL,SYR,en-route
2023-11-11 10:59:36.393552,DAL2270,DAL,39.858445,-75.026672,2412,ATL,PHL,en-route
2023-11-11 10:59:53.687304,JIA5358,JIA,39.826929,-75.4198,4436,PHL,MSP,en-route
2023-11-11 10:59:53.687304,PDT5710,PDT,39.848669,-75.318909,1913,PHL,SYR,en-route
