timestamp,flight_icao,airline_icao,lat,lng,alt,dep_iata,arr_iata,status
2023-11-11 10:57:14.202078,NKS1343,NKS,40.659439,-73.974365,2627,IAH,LGA,en-route
2023-11-11 10:57:31.502006,NKS1343,NKS,40.67148,-73.964518,2328,IAH,LGA,en-route
2023-11-11 10:57:50.055846,NKS1343,NKS,40.67148,-73.964518,2328,IAH,LGA,en-route
2023-11-11 10:58:05.843371,NKS1343,NKS,40.682968,-73.954956,2052,IAH,LGA,en-route
2023-11-11 10:58:22.420074,NKS1343,NKS,40.682968,-73.954956,2052,IAH,LGA,en-route
2023-11-11 10:58:36.783016,NKS1343,NKS,40.713821,-73.929749,1301,IAH,LGA,en-route
2023-11-11 10:58:52.358682,RPA5790,RPA,40.785859,-73.87026,176,LGA,EYW,en-route
2023-11-11 10:58:52.358682,NKS1343,NKS,40.723618,-73.921631,1052,IAH,LGA,en-route
2023-11-11 10:58:52.358682,AAL1943,AAL,41.204643,-73.672381,3627,BOS,LGA,en-route
2023-11-11 10:59:07.209817,RPA5790,RPA,40.796566,-73.864892,953,LGA,EYW,en-route
2023-11-11 10:59:07.209817,NKS1343,NKS,40.732864,-73.914062,802,IAH,LGA,en-route
2023-11-11 10:59:07.209817,AAL1943,AAL,41.187057,-73.656372,3627,BOS,LGA,en-route
2023-11-11 10:59:25.791948,RPA5790,RPA,40.808995,-73.867576,1327,LGA,EYW,en-route
2023-11-11 10:59:25.791948,NKS1343,NKS,40.742705,-73.906028,304,IAH,LGA,en-route
2023-11-11 10:59:25.791948,AAL1943,AAL,41.16861,-73.639954,3627,BOS,LGA,en-route
2023-11-11 10:59:42.090943,RPA5790,RPA,40.821937,-73.871259,1728,LGA,EYW,en-route
2023-11-11 10:59:42.090943,NKS1343,NKS,40.751643,-73.898537,402,IAH,LGA,en-route
2023-11-11 10:59:42.090943,AAL1943,AAL,41.152267,-73.625305,3654,BOS,LGA,en-route
2023-11-11 11:00:00.656549,RPA5790,RPA,40.83809,-73.875628,2427,LGA,EYW,en-route
2023-11-11 11:00:00.656549,NKS1343,NKS,40.761558,-73.890422,153,IAH,LGA,en-route
2023-11-11 11:00:00.656549,AAL1943,AAL,41.13244,-73.610021,3627,BOS,LGA,en-route
2023-11-11 11:00:16.078293,RPA5790,RPA,40.854616,-73.879936,3227,LGA,EYW,en-route
2023-11-11 11:00:16.078293,AAL1943,AAL,41.110931,-73.605469,3752,BOS,LGA,en-route
2023-11-11 11:00:33.895853,RPA5790,RPA,40.871613,-73.884583,3677,LGA,EYW,en-route
2023-11-11 11:00:33.895853,AAL1943,AAL,41.089554,-73.60321,3627,BOS,LGA,en-route
2023-11-11 11:00:48.947528,RPA5790,RPA,40.888413,-73.888987,4402,LGA,EYW,en-route
2023-11-11 11:00:48.947528,AAL1943,AAL,41.070246,-73.601407,3627,BOS,LGA,en-route
2023-11-11 11:01:06.621369,AAL1943,AAL,41.048879,-73.599285,3627,BOS,LGA,en-route
2023-11-11 11:01:22.145088,AAL1943,AAL,41.021347,-73.596802,3627,BOS,LGA,en-route
2023-11-11 11:01:38.288207,AAL1943,AAL,41.001709,-73.602295,3627,BOS,LGA,en-route
2023-11-11 11:01:55.191311,DAL2860,DAL,40.521973,-74.116394,4579,MIA,LGA,en-route
2023-11-11 11:01:55.191311,AAL1943,AAL,40.98203,-73.613579,3627,BOS,LGA,en-route
2023-11-11 11:01:55.191311,JZA984,JZA,41.191544,-73.67334,3627,YYZ,LGA,en-route
2023-11-11 11:02:11.894673,DAL2860,DAL,40.536163,-74.099487,4001,MIA,LGA,en-route
2023-11-11 11:02:11.894673,JZA984,JZA,41.171219,-73.666321,3627,YYZ,LGA,en-route
2023-11-11 11:02:11.894673,AAL1943,AAL,40.963455,-73.624503,3627,BOS,LGA,en-route
2023-11-11 11:02:27.311708,AAL1943,AAL,40.936523,-73.640442,3627,BOS,LGA,en-route
2023-11-11 11:02:27.311708,JZA984,JZA,41.141192,-73.656027,3752,YYZ,LGA,en-route
2023-11-11 11:02:27.311708,DAL2860,DAL,40.556442,-74.072632,3329,MIA,LGA,en-route
2023-11-11 12:08:18.545421,RPA4347,RPA,40.635774,-74.053844,3027,YYZ,LGA,en-route
2023-11-11 12:08:18.545421,DAL1154,DAL,40.754389,-73.896353,304,MSP,LGA,en-route
2023-11-11 12:08:18.545421,NKS1351,NKS,40.672551,-73.963956,2328,MCO,LGA,en-route
2023-11-11 17:17:03.812676,DAL791,DAL,40.736572,-73.911133,428,ATL,LGA,en-route
2023-11-11 17:17:03.812676,EDV4938,EDV,40.654495,-73.979065,2551,BHM,LGA,en-route
2023-11-11 17:17:20.524395,EDV4839,EDV,40.513229,-74.127869,4326,PNS,LGA,en-route
2023-11-11 17:17:20.524395,DAL791,DAL,40.754622,-73.896165,278,ATL,LGA,en-route
2023-11-11 17:17:20.524395,EDV4938,EDV,40.675964,-73.961365,2226,BHM,LGA,en-route
2023-11-11 17:17:38.922055,EDV4839,EDV,40.527832,-74.110535,3952,PNS,LGA,en-route
2023-11-11 17:17:38.922055,DAL791,DAL,40.763306,-73.889038,77,ATL,LGA,en-route
2023-11-11 17:17:38.922055,EDV4938,EDV,40.686563,-73.952595,1977,BHM,LGA,en-route
2023-11-11 17:17:54.905557,EDV4839,EDV,40.543182,-74.092109,3529,PNS,LGA,en-route
2023-11-11 17:17:54.905557,EDV4938,EDV,40.697571,-73.943604,1701,BHM,LGA,en-route
2023-11-11 17:18:20.293331,EDV4839,EDV,40.556717,-74.075867,3152,PNS,LGA,en-route
2023-11-11 17:18:20.293331,EDV4938,EDV,40.706673,-73.935928,1426,BHM,LGA,en-route
2023-11-11 17:18:36.090370,EDV4839,EDV,40.573013,-74.056396,2827,PNS,LGA,en-route
2023-11-11 17:18:36.090370,EDV4938,EDV,40.717255,-73.927185,1177,BHM,LGA,en-route
2023-11-11 17:18:52.256185,EDV4839,EDV,40.599609,-74.025208,2577,PNS,LGA,en-route
2023-11-11 17:18:52.256185,EDV4938,EDV,40.733459,-73.913696,802,BHM,LGA,en-route
2023-11-11 17:19:07.484975,EDV4839,EDV,40.607191,-74.018388,2577,PNS,LGA,en-route
2023-11-11 17:19:07.484975,EDV4938,EDV,40.73791,-73.909961,701,BHM,LGA,en-route
2023-11-11 17:19:22.492056,EDV4839,EDV,40.607191,-74.018388,2577,PNS,LGA,en-route
2023-11-11 17:19:22.492056,EDV4938,EDV,40.73791,-73.909961,701,BHM,LGA,en-route
2023-11-11 17:19:39.915923,EDV4839,EDV,40.6241,-74.004333,2604,PNS,LGA,en-route
2023-11-11 17:19:39.915923,EDV4938,EDV,40.74722,-73.902345,504,BHM,LGA,en-route
2023-11-11 17:19:56.602464,DAL2498,DAL,40.7883,-73.868225,228,LGA,DTW,en-route
2023-11-11 17:19:56.602464,EDV4839,EDV,40.638893,-73.992108,2604,PNS,LGA,en-route
2023-11-11 17:19:56.602464,EDV4938,EDV,40.755367,-73.895541,278,BHM,LGA,en-route
2023-11-11 17:20:12.270116,DAL2498,DAL,40.798141,-73.860413,1327,LGA,DTW,en-route
2023-11-11 17:20:12.270116,EDV4839,EDV,40.668826,-73.96639,2328,PNS,LGA,en-route
2023-11-11 17:20:12.270116,NKS3173,NKS,40.483429,-74.161804,4851,MIA,LGA,en-route
2023-11-11 17:20:31.250318,DAL2498,DAL,40.817688,-73.844055,1603,LGA,DTW,en-route
2023-11-11 17:20:31.250318,NKS3173,NKS,40.497281,-74.145418,4451,MIA,LGA,en-route
2023-11-11 17:20:31.250318,EDV4839,EDV,40.68045,-73.957031,2151,PNS,LGA,en-route
2023-11-11 17:20:46.613407,DAL2498,DAL,40.830963,-73.833557,2151,LGA,DTW,en-route
2023-11-11 17:20:46.613407,EDV4839,EDV,40.692673,-73.947388,1803,PNS,LGA,en-route
2023-11-11 17:20:46.613407,NKS3173,NKS,40.513016,-74.126816,3827,MIA,LGA,en-route
2023-11-11 17:21:02.040225,DAL2498,DAL,40.830963,-73.833557,2151,LGA,DTW,en-route
2023-11-11 17:21:02.040225,EDV4839,EDV,40.702158,-73.939549,1626,PNS,LGA,en-route
2023-11-11 17:21:02.040225,NKS3173,NKS,40.527374,-74.109131,3276,MIA,LGA,en-route
2023-11-11 17:21:18.049362,DAL2498,DAL,40.844696,-73.823059,2404,LGA,DTW,en-route
2023-11-11 17:21:18.049362,EDV4839,EDV,40.702158,-73.939549,1626,PNS,LGA,en-route
2023-11-11 17:21:18.049362,NKS3173,NKS,40.527374,-74.109131,3276,MIA,LGA,en-route
2023-11-11 17:21:33.300088,DAL2498,DAL,40.860109,-73.811521,2804,LGA,DTW,en-route
2023-11-11 17:21:33.300088,EDV4839,EDV,40.710159,-73.933105,1354,PNS,LGA,en-route
2023-11-11 17:21:33.300088,NKS3173,NKS,40.540009,-74.090332,2928,MIA,LGA,en-route
2023-11-11 17:21:49.936175,DAL2498,DAL,40.877792,-73.802124,3476,LGA,DTW,en-route
2023-11-11 17:21:49.936175,EDV4839,EDV,40.718262,-73.926331,901,PNS,LGA,en-route
2023-11-11 17:21:49.936175,NKS3173,NKS,40.551865,-74.071167,2577,MIA,LGA,en-route
2023-11-11 17:22:07.768705,DAL2498,DAL,40.898071,-73.807007,4352,LGA,DTW,en-route
2023-11-11 17:22:07.768705,RPA5822,RPA,40.790048,-73.866327,576,LGA,RDU,en-route
2023-11-11 17:22:07.768705,NKS3173,NKS,40.565667,-74.053719,2827,MIA,LGA,en-route
2023-11-11 17:22:07.768705,EDV4839,EDV,40.727142,-73.919067,953,PNS,LGA,en-route
2023-11-11 17:22:48.719702,RPA4438,RPA,40.791595,-73.865234,878,LGA,YYZ,en-route
2023-11-11 17:22:48.719702,RPA5822,RPA,40.822083,-73.867554,1879,LGA,RDU,en-route
2023-11-11 17:22:48.719702,EDV4839,EDV,40.749594,-73.900285,153,PNS,LGA,en-route
2023-11-11 17:22:48.719702,NKS3173,NKS,40.600115,-74.024194,2577,MIA,LGA,en-route
2023-11-11 17:23:04.436097,RPA4438,RPA,40.800616,-73.857214,1554,LGA,YYZ,en-route
2023-11-11 17:23:04.436097,RPA5822,RPA,40.83688,-73.873069,2528,LGA,RDU,en-route
2023-11-11 17:23:04.436097,EDV4839,EDV,40.758207,-73.893169,228,PNS,LGA,en-route
2023-11-11 17:23:04.436097,NKS3173,NKS,40.612265,-74.013956,2577,MIA,LGA,en-route
2023-11-11 17:23:22.549792,RPA4438,RPA,40.810857,-73.848537,1852,LGA,YYZ,en-route
2023-11-11 17:23:22.549792,RPA5822,RPA,40.84584,-73.889343,3253,LGA,RDU,en-route
2023-11-11 17:23:22.549792,EDV4839,EDV,40.766098,-73.886658,28,PNS,LGA,en-route
2023-11-11 17:23:22.549792,NKS3173,NKS,40.62355,-74.004395,2577,MIA,LGA,en-route
2023-11-11 17:23:38.753438,RPA4438,RPA,40.823287,-73.838612,2203,LGA,YYZ,en-route
2023-11-11 17:23:38.753438,RPA5822,RPA,40.844282,-73.911209,3654,LGA,RDU,en-route
2023-11-11 17:23:38.753438,NKS3173,NKS,40.634857,-73.994995,2577,MIA,LGA,en-route
2023-11-11 17:23:54.241037,RPA4438,RPA,40.84,-73.825684,3227,LGA,YYZ,en-route
2023-11-11 17:23:54.241037,RPA5822,RPA,40.826033,-73.934867,4526,LGA,RDU,en-route
2023-11-11 17:23:54.241037,NKS3173,NKS,40.649135,-73.983432,2577,MIA,LGA,en-route
2023-11-11 17:24:11.178965,RPA4438,RPA,40.856106,-73.818325,3703,LGA,YYZ,en-route
2023-11-11 17:24:11.178965,NKS3173,NKS,40.659935,-73.97463,2604,MIA,LGA,en-route
2023-11-11 17:24:27.987987,RPA4438,RPA,40.874451,-73.821106,4152,LGA,YYZ,en-route
2023-11-11 17:24:27.987987,NKS3173,NKS,40.670875,-73.965641,2328,MIA,LGA,en-route
2023-11-11 17:24:45.976632,NKS3173,NKS,40.680418,-73.957714,2102,MIA,LGA,en-route
2023-11-11 17:25:05.199549,EDV4808,EDV,40.785998,-73.870447,376,LGA,ORF,en-route
2023-11-11 17:25:05.199549,NKS3173,NKS,40.689926,-73.949829,1852,MIA,LGA,en-route
2023-11-11 17:25:20.646992,EDV4808,EDV,40.795495,-73.868075,953,LGA,ORF,en-route
2023-11-11 17:25:20.646992,NKS3173,NKS,40.697983,-73.943176,1678,MIA,LGA,en-route
2023-11-11 17:25:36.637747,EDV4808,EDV,40.806885,-73.871948,1754,LGA,ORF,en-route
2023-11-11 17:25:36.637747,UAL2370,UAL,40.782761,-73.872864,28,LGA,ORD,en-route
2023-11-11 17:25:36.637747,NKS3173,NKS,40.707413,-73.935303,1452,MIA,LGA,en-route
2023-11-11 17:25:52.627527,EDV4808,EDV,40.817887,-73.875566,2052,LGA,ORF,en-route
2023-11-11 17:25:52.627527,UAL2370,UAL,40.79155,-73.865662,776,LGA,ORD,en-route
2023-11-11 17:25:52.627527,NKS3173,NKS,40.715798,-73.928313,1229,MIA,LGA,en-route
2023-11-11 17:26:09.238924,EDV4808,EDV,40.830872,-73.881226,2577,LGA,ORF,en-route
2023-11-11 17:26:09.238924,UAL2370,UAL,40.800755,-73.857339,1301,LGA,ORD,en-route
2023-11-11 17:26:09.238924,NKS3173,NKS,40.724167,-73.921326,1029,MIA,LGA,en-route
2023-11-11 17:26:28.416074,EDV4808,EDV,40.838975,-73.897851,3276,LGA,ORF,en-route
2023-11-11 17:26:28.416074,ASH6320,ASH,40.790817,-73.865967,504,LGA,IAH,en-route
2023-11-11 17:26:28.416074,UAL2370,UAL,40.811508,-73.847107,1777,LGA,ORD,en-route
